"","SV, tau=0","SV, tau=0.025","SV, tau=0.05","SV, tau=0.075","SV, tau=0.1","SV, tau=0.125","SV, tau=0.15","SV, tau=0.175","SV, tau=0.2","SV, tau=0.225","SV, tau=0.25","SV, tau=0.275","SV, tau=0.3","SV, tau=0.325","SV, tau=0.35","SV, tau=0.375","SV, tau=0.4","SV, tau=0.425","SV, tau=0.45","SV, tau=0.475","SV, tau=0.5","SV, tau=0.525","SV, tau=0.55","SV, tau=0.575","SV, tau=0.6","SV, tau=0.625","SV, tau=0.65","SV, tau=0.675","SV, tau=0.7","SV, tau=0.725","SV, tau=0.75","SV, tau=0.775","SV, tau=0.8","SV, tau=0.825","SV, tau=0.85","SV, tau=0.875","SV, tau=0.9","SV, tau=0.925","SV, tau=0.95","SV, tau=0.975","SV, tau=1"
"1",0.537,0.897,0.253,0.292,0.501,0.084,0,0.533,0.019,0.806,0.649,0.001,0.057,0.074,0.044,0.018,0,0.113,0,0.001,0.004,0,0.008,0.001,0.008,0,0,0,0,0.003,0.032,0.042,0.002,0.001,0,0.058,0,0.012,0.014,0.007,0.001
"2",0.664,0.593,0.882,0.525,0.47,0.907,0.081,0.265,0.892,0.335,0.133,0.136,0.005,0.068,0.01,0.036,0.011,0.112,0.006,0.001,0.097,0.292,0,0.136,0.007,0,0,0,0,0,0.015,0.013,0.016,0,0.05,0,0,0.001,0.028,0.048,0
"3",0.368,0.166,0.969,0.286,0.252,0.668,0.041,0.698,0.198,0.616,0.439,0.065,0.027,0.035,0.001,0.005,0.086,0.066,0.003,0,0,0.057,0.002,0.033,0.064,0,0.004,0,0,0,0,0,0.012,0.044,0,0,0.001,0.001,0,0.002,0
"4",0.591,0.97,0.115,0.574,0.783,0.39,0.797,0.752,0.072,0.444,0.058,0.128,0.073,0.252,0.004,0.001,0.468,0.026,0.098,0,0.028,0.046,0.001,0.003,0.026,0,0,0.103,0.051,0,0,0.013,0.044,0,0,0,0,0,0,0,0
"5",0.856,0.121,0.309,0.899,0.031,0.004,0.733,0.831,0.536,0.019,0.307,0.085,0.072,0.267,0,0.258,0.069,0,0.044,0,0.023,0,0.008,0,0.002,0,0,0,0.004,0.007,0,0.004,0.005,0,0,0.02,0,0,0.059,0.027,0.001
"6",0.22,0.916,0.588,0.636,0.213,0.482,0.792,0.275,0.053,0.672,0.061,0.299,0.568,0.099,0.03,0.073,0.065,0,0.103,0.001,0.031,0,0.078,0.014,0,0.002,0,0.001,0,0.002,0.007,0,0.005,0,0,0,0,0,0.001,0,0.001
"7",0.29,0.772,0.843,0.754,0.751,0.146,0.076,0.014,0.135,0.018,0.074,0.942,0,0.016,0.005,0.013,0.005,0,0.02,0.008,0.001,0,0,0.015,0,0.001,0.007,0.004,0.002,0.005,0.001,0,0,0,0.002,0.074,0,0.001,0.003,0.025,0.011
"8",0.522,0.806,0.131,0.104,0.393,0.672,0.895,0.943,0.9,0.017,0.053,0.035,0.534,0.302,0.829,0.008,0,0,0.003,0.048,0.03,0.004,0.134,0.121,0.024,0,0.177,0.022,0,0.021,0.003,0.003,0.01,0.07,0,0,0,0.015,0,0,0
"9",0.418,0.946,0.058,0.933,0.716,0.401,0.004,0.344,0.233,0.199,0,0.299,0.008,0.201,0.513,0.067,0.002,0.024,0.001,0.085,0,0.016,0.042,0.033,0.002,0.001,0.002,0.091,0.061,0.005,0.008,0.02,0.001,0.013,0.007,0.001,0.004,0.007,0.001,0,0.02
"10",0.077,0.303,0.653,0.101,0.709,0.06,0.626,0.673,0.001,0.483,0.23,0.362,0.001,0.086,0.724,0.155,0.029,0.036,0,0.002,0.053,0.002,0,0.01,0.016,0.009,0,0.005,0,0,0.002,0,0.015,0.001,0.019,0.061,0.002,0.018,0,0.012,0
"11",0.627,0.703,0.618,0.954,0.901,0.573,0.019,0.207,0.382,0.01,0.348,0.182,0.029,0.196,0.002,0.002,0.008,0.004,0.071,0.003,0,0,0,0.086,0,0.132,0,0,0.01,0.007,0,0.004,0,0,0,0.022,0.015,0.001,0,0.002,0
"12",0.583,0.966,0.591,0.252,0.993,0.168,0.336,0.789,0.274,0.01,0.24,0.03,0.005,0.001,0.005,0.026,0.001,0,0,0,0.039,0.001,0,0.001,0,0.076,0.032,0,0.009,0,0.001,0.022,0,0,0,0.006,0,0.002,0,0,0.001
"13",0.334,0.596,0.158,0.928,0.561,0.788,0.904,0.76,0.55,0.772,0.008,0.556,0.29,0.006,0.091,0.103,0.007,0,0.045,0.415,0,0.035,0.002,0,0,0.001,0.017,0.04,0,0.004,0.08,0,0.005,0.037,0,0.015,0.004,0,0,0.023,0
"14",0.616,0.888,0.012,0.807,0.917,0.084,0.573,0.168,0.106,0.911,0.098,0.32,0.029,0.246,0.03,0.011,0,0.03,0.019,0,0,0.019,0.032,0,0,0.011,0.024,0.054,0,0.001,0.03,0,0,0.004,0.002,0,0,0.002,0.001,0.002,0
"15",0.155,0.422,0.989,0.354,0.399,0.603,0.75,0.92,0.508,0.846,0.075,0.036,0.093,0.074,0.032,0.002,0.082,0.05,0.009,0,0.017,0,0,0,0,0.032,0.012,0.023,0.001,0.026,0,0,0,0,0.169,0,0,0.002,0,0,0.036
"16",0.23,0.386,0.613,0.789,0.301,0.516,0.224,0.122,0.01,0.951,0.169,0.645,0.104,0.003,0,0,0.098,0,0.027,0.032,0.001,0,0.077,0,0.001,0.004,0.078,0.034,0,0.002,0.023,0,0.004,0,0,0.037,0.089,0,0,0,0
"17",0.918,0.667,0.035,0.455,0.756,0.596,0.895,0.968,0.059,0.452,0.222,0.052,0.047,0.002,0.001,0.048,0.035,0.402,0.047,0.023,0.006,0,0.006,0.001,0.057,0,0.034,0.002,0,0.005,0.007,0,0,0,0.007,0.012,0.018,0.015,0,0.01,0
"18",0.402,0.791,0.95,0.002,0.837,0.29,0.069,0.297,0.36,0.232,0.525,0.594,0.02,0.009,0.451,0.112,0.001,0.032,0.049,0.021,0.017,0,0.008,0,0.189,0,0.003,0,0.013,0,0,0,0,0,0,0.019,0.022,0,0.003,0,0
"19",0.166,0.986,0.755,0.292,0.971,0.891,0.066,0.182,0.375,0.015,0.07,0.044,0,0.128,0.145,0.055,0.035,0.224,0.046,0,0.008,0,0.206,0.011,0.001,0.064,0,0,0.005,0,0,0.022,0.042,0,0,0.005,0.002,0.014,0.001,0.004,0
"20",0.764,0.967,0.372,0.533,0.886,0.903,0.946,0.586,0.656,0.587,0.047,0.224,0.114,0.125,0,0.009,0.01,0.069,0,0.002,0.01,0,0,0,0,0.229,0,0.016,0.017,0,0,0,0,0.001,0,0.006,0,0.001,0.003,0,0
"21",0.533,0.536,0.93,0.237,0.299,0.135,0.515,0.088,0.202,0.067,0.742,0,0.952,0.006,0.023,0.019,0.04,0.019,0.004,0.332,0.008,0.004,0.139,0,0.005,0.01,0,0.001,0,0.036,0.021,0.003,0,0,0.001,0,0,0,0,0.003,0
"22",0.645,0.025,0.548,0.754,0.842,0.107,0.521,0.2,0.132,0.079,0.017,0.752,0.499,0.819,0.011,0.01,0,0.001,0,0.002,0.015,0,0.001,0.009,0.081,0.003,0.001,0,0.003,0.071,0,0,0,0,0,0.155,0.006,0.004,0,0.001,0.012
"23",0.268,0.053,0.661,0.124,0.517,0.365,0.969,0.201,0.131,0.771,0.115,0.083,0.261,0.88,0.02,0.003,0.004,0.007,0.005,0.02,0.012,0,0.156,0.003,0,0.002,0.008,0.002,0,0,0.001,0.029,0.027,0,0.011,0,0,0,0,0.002,0
"24",0.223,0.928,0.126,0.094,0.018,0.926,0.48,0.114,0.192,0.228,0.036,0.511,0.746,0.077,0.038,0.01,0.281,0.005,0,0.004,0.007,0.002,0,0,0,0,0.094,0.046,0.002,0.002,0,0,0.022,0.001,0,0,0,0,0,0.012,0.01
