"","type","pPerm"
"1","ugap no controls 1959Q4-2019Q4",0.446910617876425
"2","ugap oil 1959Q4-2019Q4",0.395920815836833
"3","ygap no controls 1959Q4-2019Q4",0.503499300139972
"4","ygap oil 1959Q4-2019Q4",0.514297140571886
"5","ugap no controls 1959Q4-1984Q4",0.695860827834433
"6","ugap oil 1959Q4-1984Q4",0.658868226354729
"7","ygap no controls 1959Q4-1984Q4",0.962407518496301
"8","ygap oil 1959Q4-1984Q4",0.981803639272146
"9","ugap no controls 1985Q1-2019Q4",0.881623675264947
"10","ugap oil 1985Q1-2019Q4",0.936012797440512
"11","ygap no controls 1985Q1-2019Q4",0.781443711257748
"12","ygap oil 1985Q1-2019Q4",0.824435112977405
"13","ugap no controls 1973Q1-2019Q4",0.733053389322136
"14","ugap oil 1973Q1-2019Q4",0.426114777044591
"15","ygap no controls 1973Q1-2019Q4",0.63127374525095
"16","ygap oil 1973Q1-2019Q4",0.638872225554889
